input,cost_optsol,output_optsol,runtime_optsol
"[2, 4, 1, 3]-[3, 2, 4, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.00026278
"[2, 3, 4, 1]-[3, 1, 2, 4]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00028785
"[2, 3, 1, 4]-[3, 2, 1, 4]",1,"['[(2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]']",0.00024502
"[3, 1, 4, 2]-[4, 2, 3, 1]",2,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00028347
"[2, 1, 4, 3]-[2, 4, 3, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",0.0002453
"[1, 2, 3, 4]-[4, 1, 2, 3]",2,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.000263
"[2, 1, 4, 3]-[3, 1, 2, 4]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.0003111
"[2, 1, 3, 4]-[4, 3, 1, 2]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00047954
"[1, 4, 3, 2]-[4, 3, 2, 1]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00026485
"[1, 2, 4, 3]-[3, 2, 4, 1]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.00035083
"[2, 1, 3, 4]-[4, 2, 3, 1]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00031008
"[3, 2, 4, 1]-[4, 1, 3, 2]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",0.00028688
"[1, 3, 4, 2]-[4, 3, 2, 1]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00031706
"[1, 4, 2, 3]-[2, 4, 3, 1]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",0.00033556
"[1, 2, 4, 3]-[2, 1, 4, 3]",1,"['[(2, 4), (4, 3), (1, 4), (2, 3), (1, 3)]']",0.00024389
"[1, 4, 3, 2]-[4, 1, 2, 3]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00025839
"[1, 3, 2, 4]-[2, 1, 4, 3]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]']",0.00027836
"[1, 3, 4, 2]-[2, 4, 3, 1]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",0.0004516
"[3, 1, 4, 2]-[4, 1, 2, 3]",2,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.0003121
"[1, 2, 4, 3]-[3, 4, 1, 2]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00035021
"[2, 4, 3, 1]-[3, 4, 1, 2]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00030818
"[3, 1, 4, 2]-[4, 3, 2, 1]",2,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00026869
"[3, 4, 2, 1]-[4, 1, 2, 3]",2,"['[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00030908
"[1, 4, 3, 2]-[3, 4, 1, 2]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00029707
"[1, 4, 3, 2]-[2, 3, 1, 4]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]']",0.00033532
"[4, 1, 2, 3]-[4, 1, 3, 2]",1,"['[(1, 2), (4, 1), (4, 3), (4, 2), (1, 3)]']",0.00024733
"[1, 2, 4, 3]-[2, 1, 3, 4]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]']",0.00025642
"[3, 1, 4, 2]-[3, 4, 2, 1]",2,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00024266
"[1, 2, 4, 3]-[4, 2, 3, 1]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00031324
"[2, 3, 1, 4]-[2, 4, 1, 3]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]']",0.00027231
"[1, 3, 4, 2]-[2, 4, 1, 3]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 1), (4, 3), (1, 3)]']",0.00033705
"[1, 2, 4, 3]-[1, 4, 3, 2]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]']",0.00025698
"[2, 1, 4, 3]-[2, 3, 4, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",0.00027045
"[4, 2, 1, 3]-[4, 3, 1, 2]",2,"['[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00027201
"[2, 1, 4, 3]-[3, 4, 2, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00035075
"[2, 1, 4, 3]-[2, 4, 1, 3]",1,"['[(2, 4), (2, 1), (4, 3), (2, 3), (1, 3)]']",0.00023723
"[3, 2, 4, 1]-[4, 2, 3, 1]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00029205
"[2, 3, 4, 1]-[4, 1, 2, 3]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.0002788
"[2, 3, 1, 4]-[4, 1, 2, 3]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00034635
"[1, 4, 3, 2]-[2, 1, 4, 3]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]']",0.000263
"[2, 4, 1, 3]-[2, 4, 3, 1]",1,"['[(2, 4), (2, 1), (4, 3), (2, 3), (4, 1)]']",0.00023689
"[1, 3, 2, 4]-[2, 4, 3, 1]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",0.00035254
"[1, 3, 4, 2]-[4, 2, 3, 1]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.0003446
"[2, 1, 4, 3]-[3, 1, 4, 2]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00033808
"[3, 4, 1, 2]-[4, 2, 3, 1]",2,"['[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.0002847
"[1, 4, 2, 3]-[2, 3, 4, 1]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",0.00034126
"[3, 2, 1, 4]-[4, 1, 3, 2]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",0.00034897
"[1, 2, 3, 4]-[3, 2, 1, 4]",2,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00029896
"[1, 3, 4, 2]-[4, 2, 1, 3]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00027725
"[1, 4, 3, 2]-[3, 2, 1, 4]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00027676
"[1, 4, 2, 3]-[4, 2, 3, 1]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00026502
"[1, 2, 4, 3]-[2, 4, 3, 1]",2,"['[(2, 3), (2, 4), (1, 2), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]']",0.00025958
"[1, 4, 2, 3]-[4, 2, 1, 3]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00026223
"[3, 4, 2, 1]-[4, 3, 1, 2]",2,"['[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00027052
"[1, 3, 2, 4]-[2, 1, 3, 4]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]']",0.0002589
"[2, 1, 4, 3]-[4, 2, 3, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00027
"[3, 4, 1, 2]-[4, 2, 1, 3]",2,"['[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00030348
"[2, 1, 3, 4]-[4, 1, 2, 3]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00030855
"[1, 2, 3, 4]-[2, 1, 3, 4]",1,"['[(2, 4), (3, 4), (1, 4), (2, 3), (1, 3)]']",0.00024563
"[2, 3, 4, 1]-[3, 4, 2, 1]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00025528
"[1, 3, 2, 4]-[3, 4, 2, 1]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.0003056
"[1, 2, 3, 4]-[4, 2, 1, 3]",2,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00030946
"[1, 2, 3, 4]-[2, 3, 4, 1]",2,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]']",0.00025836
"[2, 3, 1, 4]-[4, 1, 3, 2]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (1, 4)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",0.00046644
"[3, 2, 4, 1]-[4, 2, 1, 3]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00031734
"[3, 2, 4, 1]-[3, 4, 2, 1]",1,"['[(2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.00025739
"[3, 2, 1, 4]-[4, 2, 3, 1]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.00031218
"[1, 3, 2, 4]-[1, 4, 2, 3]",2,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]']",0.00027272
"[1, 4, 3, 2]-[3, 1, 4, 2]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00025554
"[4, 2, 1, 3]-[4, 2, 3, 1]",1,"['[(2, 1), (4, 3), (4, 2), (2, 3), (4, 1)]']",0.0002453
"[1, 4, 2, 3]-[4, 3, 1, 2]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00026775
"[1, 4, 2, 3]-[2, 1, 3, 4]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]']",0.00026637
"[1, 4, 2, 3]-[3, 1, 2, 4]",2,"['[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00029934
"[1, 3, 4, 2]-[3, 4, 1, 2]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00025881
"[4, 1, 2, 3]-[4, 3, 2, 1]",2,"['[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00026996
"[3, 2, 1, 4]-[3, 2, 4, 1]",1,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2)]']",0.000233
"[1, 4, 3, 2]-[4, 2, 3, 1]",2,"['[(1, 4), (1, 2), (4, 3), (3, 2), (1, 3), (4, 2)]', '[(2, 3), (2, 1), (4, 3), (3, 1), (4, 1), (4, 2)]']",0.0002927
"[3, 2, 1, 4]-[3, 4, 1, 2]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00027505
"[2, 1, 4, 3]-[3, 2, 4, 1]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]']",0.00029751
"[2, 1, 3, 4]-[3, 1, 2, 4]",2,"['[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00030768
"[2, 4, 3, 1]-[4, 2, 1, 3]",2,"['[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(2, 3), (2, 1), (4, 1), (4, 3), (1, 3), (4, 2)]']",0.00025501
"[3, 1, 2, 4]-[3, 4, 2, 1]",2,"['[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00027087
"[3, 2, 4, 1]-[4, 1, 2, 3]",2,"['[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (4, 1)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00036343
"[3, 1, 2, 4]-[3, 2, 1, 4]",1,"['[(2, 4), (3, 4), (3, 1), (1, 4), (3, 2)]']",0.00023898
"[3, 1, 2, 4]-[4, 1, 2, 3]",2,"['[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 3), (1, 3), (1, 2), (4, 3), (4, 1), (4, 2)]']",0.00034022
"[1, 3, 2, 4]-[2, 1, 3, 4]-[3, 2, 1, 4]",3,"['[(2, 4), (1, 2), (3, 4), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (3, 4), (1, 3), (1, 4)]', '[(2, 4), (2, 1), (3, 4), (3, 1), (3, 2), (1, 4)]']",0.00071952
"[2, 3, 4, 1]-[3, 1, 4, 2]-[4, 1, 3, 2]",3,"['[(2, 3), (2, 4), (2, 1), (3, 4), (3, 1), (4, 1)]', '[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(1, 3), (1, 2), (4, 3), (3, 2), (4, 1), (4, 2)]']",0.00104197
"[1, 2, 3, 4]-[1, 4, 2, 3]-[4, 3, 2, 1]",3,"['[(2, 3), (2, 4), (1, 2), (3, 4), (1, 3), (1, 4)]', '[(2, 3), (1, 4), (1, 2), (4, 3), (1, 3), (4, 2)]', '[(2, 1), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.0011008
"[1, 3, 4, 2]-[2, 4, 3, 1]-[3, 4, 1, 2]",3,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(2, 3), (2, 4), (2, 1), (4, 3), (3, 1), (4, 1)]', '[(1, 2), (3, 4), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00111648
"[2, 1, 4, 3]-[2, 4, 1, 3]-[3, 1, 2, 4]",2,"['[(2, 4), (1, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(2, 4), (2, 1), (4, 3), (2, 3), (1, 3)]']",0.00089213
"[3, 1, 4, 2]-[3, 4, 2, 1]-[4, 3, 1, 2]",3,"['[(1, 2), (4, 2), (3, 4), (3, 1), (3, 2), (1, 4)]', '[(3, 4), (2, 1), (3, 1), (3, 2), (4, 1), (4, 2)]', '[(1, 2), (4, 3), (3, 1), (3, 2), (4, 1), (4, 2)]']",0.00068365
"[1, 3, 4, 2]-[4, 1, 2, 3]-[4, 2, 1, 3]",2,"['[(1, 2), (3, 4), (4, 2), (3, 2), (1, 3), (1, 4)]', '[(1, 3), (4, 3), (4, 2), (2, 3), (4, 1)]']",0.0007057
